algoritmo,tipoVetor,n,comparacoes,trocas,tempoMs
Insercao,C,45000,505889892,505889901,126.087133
Selecao,C,45000,1012477500,44984,373.124700
Bolha,A,50000,1249975000,0,392.942800
Bolha Otimizado,A,50000,49999,0,0.015567
Insercao,A,50000,49999,49999,0.045133
Selecao,A,50000,1249975000,0,463.018433
Bolha,B,50000,1249975000,1249973798,1694.114233
Bolha Otimizado,B,50000,1249975000,1249973798,1620.946600
Insercao,B,50000,1249974982,1250023797,340.990067
Selecao,B,50000,1249975000,25582,716.769533
Bolha,C,50000,1249975000,625584078,2863.875200
Bolha Otimizado,C,50000,1249953055,625584078,2852.319033
Insercao,C,50000,625634067,625634077,154.152433
Selecao,C,50000,1249975000,49995,459.000967
